txn_date,value_date,narration,debit,credit,balance,channel,reference,currency
01/03/2026,01/03/2026,SALARY CREDIT - FEB 2026,,"85,000.00","1,25,000.55",NEFT,NEFT78211,INR
01/03/2026,01/03/2026,UPI TO HOUSE RENT GREEN RESIDENCY,"22,000.00",,"1,03,000.55",UPI,UPI99817,INR
02/03/2026,02/03/2026,EMI-HDFC HOME LOAN,"15,000.00",,"88,000.55",NACH,NACH9911,INR
02/03/2026,02/03/2026,TERM INSURANCE PREMIUM,"2,450.00",,"85,550.55",NETBANKING,INS7710,INR
03/03/2026,03/03/2026,ZOMATO*ORDER#A11,"780.00",,"84,770.55",CARD,POS8891,INR
03/03/2026,03/03/2026,UBER TRIP MUMBAI,"349.50",,"84,421.05",UPI,UPI21317,INR
04/03/2026,04/03/2026,AMAZON INDIA PAYMENTS,"4,299.99",,"80,121.06",CARD,POS4411,INR
04/03/2026,04/03/2026,INT CREDIT SAVINGS A/C,,"162.83","80,283.89",BANKINT,INT7712,INR
05/03/2026,05/03/2026,DMART SUPERMARKET,"3,921.60",,"76,362.29",CARD,POS1301,INR
05/03/2026,05/03/2026,ATM CASH WITHDRAWAL SBI,"5,000.00",,"71,362.29",ATM,ATM2201,INR
06/03/2026,06/03/2026,JIO FIBER BILL,"999.00",,"70,363.29",UPI,UPI40013,INR
06/03/2026,06/03/2026,FASTAG RECHARGE NHAI,"1,000.00",,"69,363.29",UPI,UPI40012,INR
07/03/2026,07/03/2026,RESTAURANT-BANDRA DINNER,"1,480.00",,"67,883.29",CARD,POS9912,INR
07/03/2026,07/03/2026,MEDICAL PHARMACY APOLLO,"1,245.35",,"66,637.94",CARD,POS9281,INR
08/03/2026,08/03/2026,CC BILL PAYMENT HDFC,"7,100.00",,"59,537.94",NETBANKING,CCBILL10,INR
08/03/2026,08/03/2026,REFUND - AMAZON INDIA,,"1,499.00","61,036.94",CARD,RFND8821,INR
09/03/2026,09/03/2026,TRAVEL BOOKING AIRLINE,"5,540.00",,"55,496.94",CARD,POS3328,INR
09/03/2026,09/03/2026,INTERNET BILL JIO,"999.00",,"54,497.94",UPI,UPI40014,INR
10/03/2026,10/03/2026,GROCERY SUPER MART,"3,120.40",,"51,377.54",CARD,POS1302,INR
10/03/2026,10/03/2026,UPI TO FRIEND SPLIT BILL,"850.00",,"50,527.54",UPI,UPI77881,INR
11/03/2026,11/03/2026,FOOD DELIVERY SWIGGY,"612.00",,"49,915.54",CARD,POS5501,INR
11/03/2026,11/03/2026,CARD ANNUAL FEE,"590.00",,"49,325.54",CARD,POSANFEE,INR
12/03/2026,12/03/2026,UPI-FUEL SHELL PUMP,"2,820.20",,"46,505.34",UPI,UPI2210,INR
12/03/2026,12/03/2026,UTILITY WATER BOARD,"860.00",,"45,645.34",UPI,UPI6632,INR
13/03/2026,13/03/2026,GOOGLE STORAGE SUBSCRIPTION,"130.00",,"45,515.34",CARD,SUBS003,INR
13/03/2026,13/03/2026,NETFLIX SUBSCRIPTION,"649.00",,"44,866.34",CARD,SUBS001,INR
14/03/2026,14/03/2026,FAILED UPI TXN REVERSAL,,"500.00","45,366.34",UPI,REVUPI1,INR
14/03/2026,14/03/2026,UPI TXN TO UNKNOWN MERCHANT,"1,999.99",,"43,366.35",UPI,UPI90001,INR
15/03/2026,15/03/2026,UPI TXN TO UNKNOWN MERCHANT REVERSAL,,"1,999.99","45,366.34",UPI,REV90001,INR
15/03/2026,15/03/2026,SALARY ADVANCE FROM EMPLOYER,,"10,000.00","55,366.34",NEFT,NEFT5510,INR
16/03/2026,16/03/2026,NACH RETURN CHARGE,"350.00",,"55,016.34",BANKCHG,CHG4422,INR
16/03/2026,16/03/2026,LATE FEE + GST,"236.00",,"54,780.34",BANKFEE,FEE0901,INR
17/03/2026,17/03/2026,MOBILE RECHARGE POSTPAID,"749.00",,"54,031.34",UPI,UPI1123,INR
17/03/2026,17/03/2026,AMAZON SELLER SERVICES,"2,199.00",,"51,832.34",CARD,POS4412,INR
18/03/2026,18/03/2026,TRANSFER FROM CLIENT - FREELANCE,,"12,000.00","63,832.34",IMPS,IMPS9991,INR
18/03/2026,18/03/2026,INCOME TAX SAVINGS INVESTMENT PPF,"5,000.00",,"58,832.34",NETBANKING,PPF0012,INR
19/03/2026,19/03/2026,HOME MAINTENANCE ELECTRICIAN,"1,600.00",,"57,232.34",UPI,UPI8822,INR
19/03/2026,19/03/2026,TELECOM POSTPAID JIO,"899.00",,"56,333.34",UPI,UPI40015,INR
20/03/2026,20/03/2026,RENT ADJUSTMENT REFUND,,"2,000.00","58,333.34",NEFT,NEFT2100,INR
20/03/2026,20/03/2026,INSTAMART GROCERY,"1,780.55",,"56,552.79",CARD,POS7789,INR
21/03/2026,21/03/2026,TRAIN TICKET IRCTC,"1,240.00",,"55,312.79",NETBANKING,IRCTC5521,INR
21/03/2026,21/03/2026,MEDICAL LAB TEST,"2,150.00",,"53,162.79",CARD,MED7781,INR
22/03/2026,22/03/2026,OVERDRAFT INTEREST,"420.00",,"52,742.79",BANKCHG,ODINT001,INR
22/03/2026,22/03/2026,INTEREST CREDIT SAVINGS A/C,,"148.55","52,891.34",BANKINT,INT7713,INR
23/03/2026,23/03/2026,SPOTIFY AUTO DEBIT,"119.00",,"52,772.34",CARD,SUBS002,INR
23/03/2026,23/03/2026,ONLINE COURSE UDEMY,"899.00",,"51,873.34",CARD,EDU1001,INR
24/03/2026,24/03/2026,UPI TO LANDLORD EXTRA DEPOSIT,"5,000.00",,"46,873.34",UPI,UPI7744,INR
24/03/2026,24/03/2026,TRAVEL HOTEL BOOKING,"6,799.00",,"40,074.34",CARD,POSH901,INR
25/03/2026,25/03/2026,REIMBURSEMENT FROM FRIEND,,"3,500.00","43,574.34",UPI,UPI9090,INR
25/03/2026,25/03/2026,LOCAL CAB PAYMENT,"420.00",,"43,154.34",UPI,UPI1444,INR
26/03/2026,26/03/2026,INTERNATIONAL TXN USD - PAYPAL,"2,100.00",,"41,054.34",CARD,INTL009,INR
26/03/2026,26/03/2026,FOREX MARKUP CHARGE,"63.00",,"40,991.34",CARD,FX0091,INR
27/03/2026,27/03/2026,TRANSFER TO SAVINGS ACCOUNT,,"8,000.00","48,991.34",NEFT,NEFTSAV01,INR
27/03/2026,27/03/2026,EMERGENCY FUND FD DEPOSIT,,"10,000.00","58,991.34",NETBANKING,FD10001,INR
28/03/2026,28/03/2026,RENT - GREEN RESIDENCY,"22,000.00",,"36,991.34",UPI,UPI99818,INR
28/03/2026,28/03/2026,BIGBASKET GROCERY,"4,320.40",,"32,670.94",CARD,POS1400,INR
29/03/2026,29/03/2026,MUTUAL FUND SIP - INDEX FUND,"6,000.00",,"26,670.94",NETBANKING,SIP001,INR
29/03/2026,29/03/2026,HEALTH INSURANCE PREMIUM,"1,850.00",,"24,820.94",NETBANKING,INS7711,INR
30/03/2026,30/03/2026,BONUS CREDIT Q1,,"18,500.00","43,320.94",SALARY,SAL8890,INR
30/03/2026,30/03/2026,NACH RETURN CHARGE REVERSED,,"350.00","43,670.94",BANKREV,REVCHG4422,INR
31/03/2026,31/03/2026,UTILITY ELECTRICITY AUTOPAY,"2,640.10",,"41,030.84",NETBANKING,BILL0219,INR
31/03/2026,31/03/2026,MONTH-END CARD SETTLEMENT,"7,100.00",,"33,930.84",CARD,SET9911,INR
01/04/2026,01/04/2026,SALARY CREDIT MAR 2026,,"85,000.00","1,18,930.84",NEFT,NEFT88221,INR
01/04/2026,01/04/2026,UPI TO HOUSE RENT GREEN RESIDENCY,"22,000.00",,"96,930.84",UPI,UPI99819,INR
02/04/2026,02/04/2026,EMI-HDFC HOME LOAN,"15,000.00",,"81,930.84",NACH,NACH9912,INR
02/04/2026,02/04/2026,TERM INSURANCE PREMIUM,"2,450.00",,"79,480.84",NETBANKING,INS7712,INR
03/04/2026,03/04/2026,OFFICE LUNCH UBER EATS,"540.00",,"78,940.84",CARD,POS7011,INR
03/04/2026,03/04/2026,HEALTH PHARMACY BILL,"980.50",,"77,960.34",CARD,MED8811,INR
04/04/2026,04/04/2026,CLIENT PAYMENT - DESIGN PROJECT,,"25,000.00","1,02,960.34",IMPS,IMPS1101,INR
04/04/2026,04/04/2026,UPI TO FAMILY SUPPORT,"7,500.00",,"95,460.34",UPI,UPI3331,INR
05/04/2026,05/04/2026,TRAVEL FLIGHT BOOKING,"9,860.00",,"85,600.34",CARD,POSFLY1,INR
05/04/2026,05/04/2026,ZOMATO*ORDER#C21,"1,020.00",,"84,580.34",CARD,POS8892,INR
06/04/2026,06/04/2026,INSTANT CASH DEPOSIT,,"4,000.00","88,580.34",BANKDEP,DEP0011,INR
06/04/2026,06/04/2026,UTILITY WATER BOARD,"860.00",,"87,720.34",UPI,UPI6633,INR
07/04/2026,07/04/2026,INSURANCE ULIP PREMIUM,"5,000.00",,"82,720.34",NETBANKING,INS9911,INR
07/04/2026,07/04/2026,SHOPPING - UNIQLO,"3,499.00",,"79,221.34",CARD,POSSHOP1,INR
08/04/2026,08/04/2026,ATM CASH WITHDRAWAL,"3,000.00",,"76,221.34",ATM,ATM9919,INR
08/04/2026,08/04/2026,INTEREST CREDIT SAVINGS A/C,,"155.10","76,376.44",BANKINT,INT7714,INR
09/04/2026,09/04/2026,RECURRING DEBIT FAILED - EMI,"15,000.00",,"61,376.44",NACH,NACHERR11,INR
09/04/2026,09/04/2026,EMI FAILED REVERSAL,,"15,000.00","76,376.44",BANKREV,REVNACH11,INR
10/04/2026,10/04/2026,MONTHLY SUBSCRIPTION - CLOUD STORAGE,"219.00",,"76,157.44",CARD,SUBS004,INR
10/04/2026,10/04/2026,BANK SERVICE CHARGE,"177.00",,"75,980.44",BANKCHG,SRV0091,INR